instance,method,best_distance,runtime,mutation_rate,mean_distance,std_distance,worst_distance,mean_runtime
berlin52,nearest_neighbor,8980.918279329191,0.0,,,,,
berlin52,genetic_algorithm,8647.996878878312,,0.01,9382.662220146365,457.6650855543174,10224.143140568172,23.659502840042116
berlin52,genetic_algorithm,12814.993640160163,,0.05,13596.547840484662,643.2505370542647,15155.123590449928,23.793985629081725
a280,nearest_neighbor,3148.109934934404,0.0,,,,,
a280,genetic_algorithm,19476.31872300477,,0.01,20100.581338674645,411.4454575738013,20807.7372644991,187.2175061225891
a280,genetic_algorithm,25671.317044418924,,0.05,26283.766753807973,364.1667295176266,26877.770308016705,187.53017547130585
pcb442,nearest_neighbor,61984.04725691383,0.0,,,,,
pcb442,genetic_algorithm,517358.04632247624,,0.01,529792.3613577182,7857.679182476933,540680.1964025869,375.66763827800753
pcb442,genetic_algorithm,629252.326780907,,0.05,642718.7323426009,7137.1554189740855,653863.92356554,377.51561999320984
